Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
"in rage f, F+1+2",m,30,21(22~),+11~+12g,Launch,Launch,Rage art
1,h,8,10,-2,+9,+9,
"1, 1","h, m",815,10,-7,+4,+4,
"1, 2","h, m",89,10,-8~-7,+3~+4a,+3~+4a,
"1, 2, 3","h, m, m",8924,10,-2~0,KND,KND,Tail spin
"1, 2, 3, *, n (two spins)","h, m, m",8926,10,+6~+7,KND,KND,Tail spin
"1, 2, 3, * (three spins)","h, m, !",8928,10,KND,KND,KND,Tail spin
"1, 2, 3, B (Cancel)","h, m",89,10,-18~-17,-7~-6a,-7~-6a,
"1, 2, 4","h, m, m",8920,10,-12~-11,KND,KND,
"1, 3","h, l",810,10,-11,0,0,
"1, 4","h, l (TC)(LCT)",814,cs6~,-11~-9,0~+2,+3~+5,
2,h,9,12,-11,0,0,
"2, 1","h, h",910,12,-3~-2,+8~+9,+8~+9,
"2, 1, 1+2","h, h, hh",910820,12,-9~-8,KND,KND,
"2, 3","h, m (TJ)",920,js18~,-19~-18,KND,KND,
3,m,17,14,-7,+9,+9,
"3, 1","m, m?",1717,14,-11~-10,+2~+3,CS,
4,h,18,11,-7,+7,Launch (JG?),
3~4,l (TC),22,26~28s (27~) cs6~,-26,KND,KND,
1+2,m,21,16~17,-9~-8,CS,CS,
3+4,mm (TJ),1021,"23,30~32 js5~",-6~-4,KND,KND,
"3+4, (d/b, d or d/f)",mm (TJ),1021,"23, 30~32s",-6~-4,KND,KND,
1+4 (First hit only),l,5,14,-19,-8,-8,
1+4,lh,58,1431,-3(-19s),+9,+9,
"1+4, 2","lh, h",5810,1431,-2,+9,+9,
"1+4, 2, 1","lh, h, h",581012,1431,-2,+9,+9,
"1+4, 2, 4","lh, h, m",581023,1431,-9,+4,KND,
"1+4, 2, d+4","lh, h, l",581015,cs10~,-23,KND,KND,
"1+4, 3","lh, m",5824,10~,-2~0,KND,KND,Tail spin
"1+4, 3, b (Cancel)",lh,58,10~,-20(37s),-9,-9,
2+3,h(Absorbs 1 h/m hit),21,28~29 (7~),0~+1,KND,KND,
f+2,m?,20,17~18,-18~-17,Launch (JG?),Launch (JG?),
"f+2, d/b or d or D/F (Cancel)",(Special)?,,s,,,,
f+3,m,24,14~16 (31~33),-2~0,KND,KND,Tail spin
"f+3, *, n (two spins)",m,26,12~13 (52~53),+6~+7,KND,KND,Tail spin
"f+3, * (three spins)",!,28,12~13 (70~71),KND,KND,KND,Tail spin
f+4,h,21,19~21,+3~+5,KND,KND,"Homing, Tail spin"
f+1+2,h,26,15~16 pc8~14,-11~-10,KND,KND,Power crush
d/f+1,m,10,13~14,-3~-2,+8~+9,+8~+9,
"d/f+1, 2","m, h(, (throw))","10,13(,20)",13~14,-1,Throw(KND),Throw(KND),
"d/f+1, 4","m, m",1022,13~14,-12~-11,KND,CS,
d/f+2,m,14,15~16,-6~-5,Launch (JG?)(+5a),Launch (JG?),
d/f+3,m,22,20~21,-8~-7,KND,KND,
d/f+4,m,16,12,-9,+2,+2,
d+2,m,18,18,-4s,+9s,KND,
d+1+2 or FC+d/b or d+1+2,l (TC),20,20 cs15~,-18,KND,KND,
d+3+4,lh (TJ),520,"14,24 js5~",-6(-25s),Launch (JG?),Launch (JG?),
d/b+1,m (TC),13,14 cs6~13,-9,+4,+9,
"d/b+1, 2","m (TC), l",1317,cs15~,-13~-12,+3~+4s,KND,
d/b+2,m,22,23~24 cs3~20,-13~-12,Launch,Launch,
d/b+3,l,16,21,-12,+4s,+4s,
b+1,"l (TC)(, (throw))",17,29~30s cs6~,-10~-9,+6~+7,Throw(KND),
b+2,m,12,15,-4s,+1s,+1s,
"b+2, 1","m, m",1214,15,-7,+4,+4,
"b+2, 4","m, l(LCT)",1214,cs15~,-11~-9,0~+2,+3~+5,
"b+2, 1+2","m, h",127,15~,-10,+1,+1,
"b+2, 1+2, d (Cancel)",m,12,15~s,-6s,-1s,-1s,
"b+2, 1+2, 4","m, h, m",12720,15~,-13~-12,KND,KND,Tail spin
b+3,m (TJ),15,16~17 js10~,-19~-18,Launch (JG?),Launch (JG?),
"b+3, 2","m, m?",1520,16~17 10~,-20~-19,Launch (JG?),Launch (JG?),
"b+3, 2, (d/b, d or d/f) (Cancel)","m, (Special)?",15,16~17 10~s,-33~-32,Launch (JG?),Launch (JG?),
"b+3, 4","m (TJ), l (TC)(LCT)",1514,cs1~,-11~-9,0~+2,+3~+5,
b+4,m,17,15~16,-8~-7,+8~+9,CS,
"b+4, 2","m, m",1712,15~16,-12~-11,+4~+5s,+4~+5s,
"b+4, 2, 3","m, m, m",171221,15~16,-16~-13,KND,KND,
b+1+4,hl,158,"12,29~30",-8~-7,+5~+6,+5~+6 +7~+8,
"b+1+4 (First hit only, Second hit miss)",h,15,12,-25,-14,-14,
"b+1+4, 3","hl, l?",15818,12,-13~-12,-2~-1,KND,
"b+1+4, 4","hl, m",15823,12,-14~-13,+5b,+5b,Tail spin
u/f+2,h (throw),"20(,20)",14,-7,Throw(KND),Throw(KND),
u/f+2 (No throw),h,20,14,-7,+,+,
u/b or u or u/f+3,m (TJ),17,20~21 js11~,-3~-2,+8~+9,KND,
u/b+4,m (TJ),25,20~21 js9~,-15~-14,Launch (JG?),Launch (JG?),
u or u/f+4,m (TJ),25,20~21 js9~,-13~-12,Launch (JG?),Launch (JG?),
"f, F+1",m,30,23~24 (24~),+4~+5,KND,KND,
"f, F+2",m,16,15~16 (16~),-13~-12,-3~-2,-3~-2,
"f, F+2, 1","m, h",1621,15~16 (16~),-5~-4,KND,KND,
"f, F+2, 3","m, m",1621,15~16 (16~),-8~-7,KND,KND,
"f, F+2, 1+2","m, m",1625,15~16 (16~),-13~-12,ED,ED,
"f, F+3",m?,23,20~21s (21~),-9~-8,KND,KND,Homing
"f, F+4",h (TJ),28,20~21 (21~) js6~,-3~-2,KND,KND,Tail spin
"u/b, b",(Special) (TJ),,a,,,,
"u/b, b, 3 or f, f, f+3",m (TJ),32,24~28 (69~) js3~,0~+4,KND,KND,
WS+1,m,12,15~16,-7~-6,+4~+5,+4~+5,
"WS+1, 4","m, h",1220,15~16,-12,KND,KND,
WS+2,m,18,13~14,-8~-7,+8~+9,+8~+9,
"WS+2, 1","m, h",1810,13~14,-2,+9,+9,
WS+3,m,20,19~20 js18~,-16~-15,Launch (JG?),Launch (JG?),
WS+4,m,15,11~12,-3~-2,+8~+9,+8~+9,
WS+1+2,m?,20,21,-2,+5,CS (17),
"WS+1+2, D (Cancel)",(Special)?,,s,,,,
FC+3+4 WS+3+4,mm (TJ),1010,"21~22, 31~32 js5~22",-6~-5,+5~+6s,+5~+6s,
"FC+3+4, D",mm (TJ),1010,"21~22, 31~32s js5~22",-6~-5,+5~+6s,+5~+6s,
"FC+3+4, 3","mm (TJ), mm (TJ)",10101010,js21~,0~+1s,KND,KND,
"FC+3+4, 3, D","mm (TJ), mm (TJ)",10101010,s js21~,0~+1s,KND,KND,
FC+d/f+2,l (TC),10,16~17s cs1~,-11~-10,0~+1,+16~+17,
FC+d/f+3,m,17,18 cs1~17,-13,+3,CS,
SS+2,m,23,13~14 (22~),-9~-8,KND(KND),KND(KND),
SS+4,h,18,17~21 (26~),-6~-2,+7~+11,KND,
f+1,m,17,20,-7,+4,+4,
"f+1, 3","m, m",1717,20,-5~-4,+6~+7,KND,
"f+1, 3, 1","m, m, h",171712,20,-8,+3,+3,
"f+1, 4","m, lh (TJ)",17520,js10~,-6(-25s),Launch (JG?),Launch (JG?),
"f+1, d+4","m, l (TC)",1722,s cs6~,-26,KND,KND,
"f+1, d+4, D/B (Cancel)","m, (Special)",17,6~s,-26,-15,-15,
d/b+4,l (TC)(LCT),14,22~24 cs6~,-11~-9,0~+2,+3~+5,
"d/b+4, D",l (TC)(LCT),14,22~24s cs6~,-11~-9,0~+2,+3~+5,
"d/b+4, 4","l (TC), l (TC)(LCT)",1415,cs1~,-7~-5,+4~+6,KND,
"d/b+4, 4, D","l (TC), l (TC)(LCT)",1515,s cs1~,-11~-9,0~+2,KND,
"d/b+4, 4, 4","l (TC), l (TC), l (TC)(LCT)",182021,cs1~,-7~-5,+4~+6,KND,
"d/b+4, 4, 4, D","l (TC), l (TC), l (TC)(LCT)",182021,s cs1~,-11~-9,0~+2,KND,
LCT 3,h(LCT),21,1~,-3,Launch,Launch,
LCT 1+4,lh(LCT),58,1~,-3(-19s),+9,+9,
