Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d/f+1+2 or FC+d/f+1+2,m,55,20,-22,KND,KND,Rage art
in rage b+1+2,m,30,18~19,+6~+7s,KND,KND,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",78,10,-2,+5,+5,
"1, 2, 1","h, h, m",7818,10,-6,+6,CS,
"1, 2, 3","h, h, l",7815,10,-12,+2,KND,
"1, 2, 4","h, h, h",7824,10,-3,KND,KND,Tail spin
"1, 4","h, h",714,10,-7,+4,+4,
"1, 4, 2","h, h, h",71418,10,-7,+4,CS,"Rage art, Rage art"
"1, 4, 2, 1","h, h, h, h",7141817,10,0,CS,CS,"Rage art, Rage art"
"1, 4, 2, 1, 2","h, h, h, h, h",714181722,10,-9,KND,KND,
"1, 4, 2, 1, u or d (Cancel)","h, h, h",71418,10,-10,+1,CS,
"1, 4, 2, 4","h, h, h, m (TJ)",7141821,js16~,-5~-4,KND,KND,Tail spin
"1, 4, 2, 1, 4","h, h, h, h, m (TJ)",714181721,js16~,-5~-4,KND,KND,Tail spin
"1, 4, 3","h, h, m",71415,16~,-10,+1,+1,
"1, 4, 3, 3","h, h, m, h",7141518,16~,-7,+7,+7,
2,h,10,10,+1,+7,+7,
"2, 3","h, m",1014,10,-10,+6(KND),+6,
3,m,14,16,-4,+7,+7,
"3, 2","m, m",1411,16,-10,+1,+1,
"3, 2, 1","m, m, m",141110,16,-9,+2,+2,
"3, 2, 1, 2","m, m, m, m",14111014,16,-10,KND,KND,
"3, 2, 1, 4","m, m, m, l",14141012,16,-11,0,0,
"3, 3","m, h",1413,16,-6,+6,+6,
"3, 3, 2","m, h, h",141320,16,-7~-6,Launch,Launch,
"3, 3, 4","m, h, m",141325,16,-12,KND,KND,
4,h,15,12,-7,+6,Launch (JG?),
"4, 3","h, m",1512,12,-10~-9,+4~+5,+4~+5,
"4, 3, 4","h, m, m",151216,12,-12~-11,KND,KND,Tail spin
"4, 3, 4* (Very long hold)","h, m, m",151225,12,-9~-8,KND,KND,Tail spin
"4, 3, f+4","h, m, h",151218,12,-5~-4,+6~+7,KND,
1+2,m,16,17~18,-7~-6,+6~+7,+5~+6b,Homing
"1+2, 2","m, m",1620,17~18,-14~-13,+3~+4,KND,
3+4,m,20,18,-13,CS,CS,
f+2,m,10,15,-10,+1,+1,
"f+2, 1","m, m",1012,15,-10,+1,+1,
"f+2, 1, 4","m, m, m",101220,15,-13~-12,KND,KND,
f+3,m,18,16~18,0~+2,+1~+3,CS,
f+4,m,10,18,-9,0,0,
"f+4, 1","m, m",1010,18,-13~-12s,BU,BU,
f+1+2,h,22,22~23,+8~+9,KND,KND,Tail spin
f+1+4,!,21,28,-12,-12,-12,
d/f+1,m,8,15,-5,+1,+1,
"D/F+1, 1","m, m",82,15,-10,-4,-4,
"D/F+1, 1, 1","m, m, m",822,15,-10,-4,-4,
"D/F+1, 1, 1, 1","m, m, m, m",8222,15,-10,-4,-4,
"d/f+1, 2","m, m",820,15,-15,+1,KND,
d/f+2,m,12,13,-6,+5,+5,
"d/f+2, 1","m, h",1211,13,-4,+4,+4,
"d/f+2, 3","m, m",1220,13,-13,CS,CS,
d/f+3,l (TC),20,29~30s cs6~,-26,KND,KND,Homing
d/f+4,m,23,22~24,-6~-4,KND,KND,Homing
d+2,m,14,14~15,-2~-1,+1~+2s,+8~+9s,
"d+2, 3","m, m",1421,14~15,-10,KND,Launch,
d+3,l,10,16,-11,0,0,
"d+3, 2","l, h",1022,16,-7,KND,KND,
d+4,l,11,15,-11,0,0,
d+1+2 FC+1+2,mm (TC),1015,"17,35 cs6~16",-10,+3,+3,
d+1+2 FC+1+2 (Second hit miss),m,10,17 cs6~16,-28,-17,-17,
"d+1+2, 3","mm, l",101520,17 6~16,-13~-12,+4~+5,KND,
"d+1+2, F","m, (CD)",10,s cs6~16,-1,+10g,+10g,
"d+1+2, B","m, (SWAY)",10,s cs6~16,-8,+3,+3,
d+1+2~2,m,24,45,+2,KND,KND,
d+3+4,l,15,19,-12,-1,+4,
"d+3+4, 2","l, m?",1523,19,-12,KND,KND,
"d+3+4, 2, d/b (Cancel)","l, (Special)",15,19s,-23,-12,-7,
d/b+2,m?,13,15~17,-6~-4,+8~+10g,+8~+10g,
d/b+3,l (TC),11,16~17s cs6~,-12~-11,-1~0,+4~+5,
d/b+1+2,mh,1425,1527,-13,KND,KND,
b+1,m,24,20~21,+3~+4,+5~+6s,KND,
b+2,h,18,17,-7,+4,CS,
"b+2, 1","h, h",1817,17,0,CS,CS,
"b+2, 1, 2","h, h, h",181722,17,-9,KND,KND,
"b+2, 1, u or d (Cancel)",h,18,17,-10,+1,CS,
"b+2, 4","h, m (TJ)",1821,js16~,-5~-4,KND,KND,Tail spin
"b+2, 1, 4","h, h, m (TJ)",181721,js16~,-5~-4,KND,KND,Tail spin
b+3,m,12,19,-7,+4,+4,
"b+3, F or d/F","m, (Special) (TC)(CD)",12,20,+1,+12g,+12,
"b+3, 2","m, h",1212,20,-4,+7,+7,
"b+3, 2, 1","m, h, m",121210,20,-9,+2,+2,
"b+3, 2, 1, 2","m, h, m, m",12121014,20,-10,KND,KND,
"b+3, 2, 1, 4","m, h, m, l",12121012,20,-11,0,0,
"b+3, 4","m, m",1218,20,-12,-2,-2,
"b+3, 1+2","m, m",1225,20,-6,+4s,KND,
"b+3, 1+2, D","m, m",1225,20s,-6,+4s,KND,
b+4,m,18,16,-10,+15,+15,
b+1+3 or b+2+4,Absorbs 1 h/m hit,,2~10,,+3,,
1 When parrying 2,h,30,13~14,-10~-9,KND,KND,
2 When parrying 2,m,22,15,-5,+2,+7,
b+1+4,!,45,53,KND,KND,KND,
u/b+1+2,mm,52,1527,-16,-6,-6,
u/b+1+2 (Second hit miss),m,5,15,-18,-7,-7,
"u/b+1+2, 1","mm, m",522,15,-13,-3,-3,
"u/b+1+2, 1, 2","mm, m, m",5222,15,-16,-6,-6,
"u/b+1+2, 1, 2, 1","mm, m, m, m",52222,15,-13,-3,-3,
"u/b+1+2, 1, 2, 1, 2","mm, m, m, m, m",522222,15,-16,-6,-6,
"u/b+1+2, 1, 2, 1, 2, 1","mm, m, m, m, m, m",5222222,15,-13,-3,-3,
"u/b+1+2, 1, 2, 1, 2, 1, 2","mm, m, m, m, m, m, m",52222222,15,-16,-6,-6,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1","mm, m, m, m, m, m, m, m",5222222222,15,-13,-3,-3,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2","mm, m, m, m, m, m, m, m, m",5222222222,15,-16,-6,-6,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2, 1","mm, m, m, m, m, m, m, m, m, m",52222222222,15,-32,-15,-15,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 4","mm, m, m, m, m, m, m, m, m, m, m",5222222222214,15,-35,KND,KND,
u or u/f+3,m (TJ),15,27~28 js9~,0~+1,KND,KND,
u+4,m (TJ),21,24~26 js9~,-5~-3,KND,KND,
u/f+4,m (TJ),22,24~26 js9~,-5~-3,KND,KND,
"f, F+2",h,32,13(14~) pc6~12,-10,KND,KND,Power crush
"f, F+3",m,25,22~23 (23~),-13~-12,KND,KND,Tail spin
"f, F+3* (Very long hold)",m,33,34~35 (35~),+8~+9,KND,KND,Tail spin
"f, F+4",h,32,16~19 (17~),-10~-7s,KND,KND,"Homing, Tail spin"
"f, b+2",h,20,14~15 (14~),-7~-6,Launch,Launch,
"b, d/f+4",l,25,29(29~),-13,+14g,KND,
"b, B+4",m(h),24,21~33d js18~ (24~),-19~-7,KND,KND,
"f, f, f+3",m,30,22~25 (25~) js3~,+9~+12g,KND,KND,
WS+1,m,20,15~16,-16~-15,Launch (JG?),Launch (JG?),
WS+2 (to GUP),m(GUP),18,19,-8,+3,+3,
GUP When hit b or F+2,"m, (throw)",1825,19,-10,Throw(KND),Throw(KND),
