Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage b+3+4,m (TJ),55,20 js13~17 pc8~17,-22,KND,KND,Rage art
1 or BT 1 or 2,h,7,10,+1,+8,+8,
"1, 1","h, h",77,10,-3,+4,+4,
"1, 2","h, h",710,10,-1,+5,+5,
"1, 2, 3","h, h, m (TJ)",71020,js19~,-22~-21,Launch (JG?),Launch (JG?),
"1, 2, 4","h, h, h",71020,19~,-4~-3,KND,KND,Tail spin
2 or f+2,h,9,14,-3,+8,+8,
"2, 2","h, m",915,14,-12,+2,+2,
3,h,12,13,-8,+8,+8,
4 or BT 3 or 4,h,21,13,-5,KND,KND,"Homing, Tail spin"
1+2,m,20,13~14,-20~-19,KND,KND,
3+4,l (TJ),20,33~34a js9~23 cs23~,-27,KND,KND,Homing
f+3,m,17,18~19,-11~-10,0~+1,+25g(KND),
f+1+2,m,21,25 pc8~24,-13,KND,CS,"Homing, Power crush"
d/f+1,m,12,13,-3,+3,+3,
"d/f+1, 2","m, m",1217,13,-13,-2,-2,
"d/f+1, 4","m, h",1214,13,-9,+2,+2,
d/f+2,m,10,16~17,-9~-8,+2~+3,+2~+3,
"d/f+2, 3","m, m (TJ)",1010,js14~,-18~-17,Launch (JG?),Launch (JG?),
d/f+3,m (TJ),24,25~26 js9~,-8~-7,KND,KND,Homing
d/f+4,m,16,12,-8,+3,+3,
d/b or d+1 or FC+1 or BT d+1 or d+2,Sm,5,10s cs4or1~,-5,+6,+6,
d/b or d+2 or FC+2,Sm (TC),8,12s cs4or1~,-7,+4,+4,
d/b or d+3 or FC+3 (Close),l (TC),10,15s cs4or1~,-16,-5,-5,
d/b or d+3 or FC+3,l (TC),7,15s cs4or1~,-16,-5,-5,
d/b or d+4 or FC+4 or BT d+3 or d+4,l (TC),20,20~21s cs6or1~,-27,+3~+4s,KND,
d+1+2 or FC+d/b or d+1+2 Grounded face upd+1+2,(Special) (TC),,20~21 61~,,,,
d/b+1+2,! (TJ),30,51~52 js21~50,KND,KND,KND,
b+1,m,13,14,-8,0,0,
"b+1, 2","m, m",1313,14a,-13~-11,Launch (JG?),Launch (JG?),
"b+1, 2, 4","m, m, m (TJ)",131323,js1~,-13~-12s,-1~0s,KND,
b+2,h,10,11,-4,+2,+2,
"b+2, 3","h, m",1015,11,-9~-8,+3~+4,uKZD,
b+3,h,14,16,-9,+2,+2,
"b+3, 1","h, h",1420,16,-7~-6,+12~+13kg,+12~+13kg,Tail spin
"b+3, 4","h, m",1420,16,-14~-13,KND,KND,
b+4,Sm,12,15,-14,-2,-2,
b+1+2,hm,520,"27,37~38",-18~-17,KND,KND,
"f, F+2 When hit , b",m,25,14(15~),-9,KND,KND,
"f, f+2 When hit or MG 2 When hit",(Special),,14(15~),,,,
"f, F+3",h,12,16~17 (17~),-10~-9,KND,KND,Homing
"f, F+3, 4","h, h (TJ)",1221,js5~,-7~-6,KND,KND,Tail spin
"f, F+4",m (TJ),10,15~16 (16~) js12~,-16~-15,-5~-4,-5~-4,
"f, F+4, 2","m (TJ), m",1010,js1~,-14~-13,-3~-2 (BU),-3~-2 (BU),
"f, F+4, 2, qcf+1 (SSL)","m (TJ), m, Sm(DW)",101020,1~,-10~+10,KND,KND,
"f, F+4, 2, qcf+2 (SSR)","m (TJ), m, Sm(DW)",101020,1~,-13~+17,-5~+25,-5~+25,
"f, F+4, 2, qcf+1, f, d, d/f+3+4 (SSL)","m (TJ), m, Sm, (MG)",101020,1~,+2,KND,KND,
"f, F+4, 2, qcf+2, f, d, d/f+3+4 (SSR)","m (TJ), m, Sm, (MG)",101020,1~,+2~+32,+10~+40,+10~+40,
"f, F+4, 2, qcf+1+2","m (TJ), m, SmSm",10102020,1~,+5,KND(KND),KND(KND),
"f, F+1+2",mh (TJ)l,5620,"18,31,47 (19~) js25~40",-14,KND,KND,
"f, f, f+1 or WR+1",h,30,18~20 (21~),-2~0,KND,KND,Tail spin
"f, f, f+3 or WR+3",m,27,24~28a (27~) js3~,0~+4,KND,KND,
WS+1,m,10,14,-7,+4,+4,
WS+2,m,18,15~16a,-12~-11,SH,Launch (JG?),
WS+3,m (TJ),20,15~16a js15~,-22~-21,Launch (JG?),Launch (JG?),
WS+4,m,15,11~12,-5~-4,+6~+7,+6~+7,
FC+D (One second),,,11~12,,,,
Jump 1 BT u or u/f+1,m,10,7a(12~) js1~,-25~0,-15~+10,-15~+10,
Jump 2 BT u or u/f+2,m,15,9a(12~) js1~,-17~+8,-7~+18,-7~+18,
Jump 3 BT u or u/f+3,m,10,7a(12~) js1~,-25~0,-15~+10,-15~+10,
Jump 4 BT u or u/f+4,m,15,9a(14~) js1~,-18~+7,-8~+17,-8~+17,
Grounded face up 1+2,(Special) (TC),,9(14~) 1~,,,,
2+3+4,(Special),,9(14~) 1~,,,,
f+4,(MG),,9(14~) 1~,,,,
MG 1,h,11,10(25~),-4,+2,+2,
"MG 1, 2","h, h",1112,10(25~),-8,+1,+1,
"MG 1, 2, 1+2","h, h, m",111221,10(25~),-13~-12,KND,KND,
MG 2,"m(, (Special))(DS)",25,14(29~),-9,KND,KND,
MG 3,h,12,16~17 (31~),-10~-9,KND,KND,Homing
"MG 3, 4","h, h (TJ)",1221,js5~,-7~-6,KND,KND,Tail spin
MG 4,l,20,18~25 (33~) cs10~,-24~-17,KND,KND,
MG 1+2,! (TJ),30,51~52a (66~) js21~50,KND,KND,KND,
qcf+1 (SSL),Sm,20,28~48 (28~),-10~+10,KND,KND,
qcf+2 (SSR),Sm,20,25~55 (25~),-13~+17,-5~+25,-5~+25,
"f, d, d/f+1 (SSL)",Sm,12,16a(16~),-22 (12~8a),Launch,Launch,
"f, d, d/f+2 (SSR)",Sm x 3,999,"13,22,31a (13~)",-36 (19~8a),Launch,Launch,
qcb+1,Sm,20,20~21 (20~),-14~-13,+11kg,KND,Tail spin
qcb+2,Sm,20,20~21 (20~),-13~-12,-2~-1,CS,
qcb+3 (SSL),m (TJ),20,27~36a (27~) js9~,-14~-5,KND,KND,
qcb+4 (SSR),m (TJ),14,26~33a (26~) js9~,-1~+6,+9~+16s,+9~+16s,
Jump qcb+3 (SSL),m (TJ),20,13~a (~) js1~,-14~-5,KND,KND,
Jump qcb+4 (SSR),m (TJ),14,13~a(~) js1~,-1~+6,+9~+16s,+9~+16s,
"qcf+1, f, d, d/f+3+4 (SSL)","Sm, (MG)",20,13~(~) 1~,+2~,KND,KND,
"qcf+2, f, d, d/f+3+4 (SSR)","Sm, (MG)",20,13~(~) 1~,+2~+32,+10~+40,+10~+40,
qcf+1+2,SmSm,2020,"24,53~ (24~)",+5~,KND(KND),KND(KND),
"f, d, d/f+1+2",Sm x 5,55999,"11,,,a (11~)",-34,Launch,Launch,
qcb+1+2,SmSm,1020,"15,37(15~)",-14~-13,+11kg,KND,
qcb+3+4,"m (TJ), m",1020,"25~32a ,49~50 (26~) js9~",-13~-12,KND,KND,
Jump qcb+3+4,"m (TJ), m",1020,"10~a, 35~36 (~) js1~",-13~-12,KND,KND,
"Two meter bars qcf, qcf+1+2",Sm,15,16?(~),-7,Launch,Launch,
