Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 1+2,m (TJ),55,20 pc8~17 js8~17,-42,KND,KND,Rage art
in rage f+3+4*,"!, (GOL)",0,20(30~),+21,+21,+21,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",724,10,-14,KND,KND,
2,h,10,10,-5,+6,+6,
"2, 1","h, h",1012,10,-5,+6,+6,
"2, 1, 3+4","h, h, (SG)",1012,10,-4,+7,+7,
3,m,20,14~15,-9~-8,+2~+3,KND,
4,m,23,16~17,-9~-8,+2~+3,KND,
f+2,h,20,16~18,-9~-7,+7~+9,CS,
"f+2, 1","h, h",2017,16~18,-3~-2,+5~+6,+5~+6,
"f+2, 1, 1","h, h, m",201724,16~18,-12~-11,KMUD,KMUD,
"f+2, f+1","h, h",2017,16~18,-9~-8,CS,CS,Tail spin
"f+2, d+1","h, m",2017,16~18,-13~-12s,+2~+3s,+2~+3s,
"f+2, d+1, 3+4","h, m, (SG)",2017,16~18,-2s,+13s,+13s,
f+3,m,17,23~24,-13~12,+5~+6,+5~+6,
"f+3, 2","m, m",1720,23~24,-13,KND,KND,
"f+3, 2, F","m, m, (GOL)",1720,23~24,-27,KND,KND,
"f+3, 2*","m, m",1740,23~24,+15g,KND,KND,
"f+3, 2*, F","m, m, (GOL)",1740,23~24,+18,KND,KND,
f+4,m,20,24,-14,KND,KND,
"f+4, F","m, (GOL)",20,24,-27,KND,KND,
f+4*,m,40,43~44,+26g,KND,KND,
"f+4*, F","m, (GOL)",40,43~44,+18,KND,KND,
f+1+2,h,15,13,-10,+5s,Throw (0orD),
f+1+2(CH in front),"h, (throw)","18,10*4",13,,,Throw (0orD),
d/f+1,m,17,14,-6,+7,+7,
d/f+2,m,14,15,-7,+6,+6,
"d/f+2, 1","m, m",1421,15,-13~-12,KND,KND,Tail spin
d/f+3,m,11,13,-9,+4,+4,
"d/f+3, 1","m, h",1112,13,-4,+4,+10,
"d/f+3, 1+2","m, m",1120,13,-16,CS,CS,
"d/f+3, 1+2, 1+2","m, m, h",112020,13,-1~0,KND,KND,
d/f+4,m,12,14,-3,+3,+8,
"d/f+4, 1+2","m, m",1230,14,+1~+2s,+5~+6s,+5~+6s,
d/f+1+2,mm,1313,"25~26, 47~48",-20~-19,-9~-8s,KND(KND),
"d/f+1+2, 1+2","mm, m",131320,"25~26, 47~48",-18~-17s,KND,KND,
d+2,m,13,15,-14,KND,KND,
d+3,l,18,16,-12,-1,-1,
"d+3, 2","l, m",1817,16,-10s,0s,KND,
d+1+2,m,30,30~31 pc8~29,-13~-12,KND,KND,Power crush
d+3+4,(Special),,pc6~,,,,Power crush
d/b+2,l (TC),20,23~24 cs6~,-14~-13,+3~+4,KND,
d/b+3,l (TC),16,21s cs6~,-28,+6,+6,
d/b+4,l (TC),8,14s cs4~,-13,-2,+3,
d/b+1+2,m,35,29~32,-8~-5,Launch,Launch,
b+1,m?,15,20~22,-15~-13,Launch (JG?),Launch (JG?),
b+2,m,20,20,-13,KND,KND,
"b+2, F","m, (GOL)",20,20,-27,KND,KND,
b+2*,m,40,41~42,+15g,KND,KND,
"b+2*, F","m, (GOL)",40,41~42,+18,KND,KND,
b+3,m,26,21~23,-9~-7,KND,KND,
b+4,m,20,20~22,-9~-7s,+1~+3s,KND,
b+1+2,m,30,25~26,+1~+2s,+5~+6s,+5~+6s,
u/f+1,m (TJ),25,23~24 js9~,-9~-8s,KND,KND,
u/b+3,m (TJ),13,20~22 js9~,-10~-8,+3~+5,+3~+5,
u+3,m (TJ),15,20~22 js9~,-10~-8,+3~+5,+3~+5,
u/f+3,m (TJ),17,20~22 js9~,-3~-1,+3~+5,Launch (JG?),
u/f+4,m (TJ),20,25~26 js9~,-13~-12,Launch (JG?),Launch (JG?),
u/f (On the way up) n+4,m (TJ),25,23 js9~,-11,Launch (JG?),Launch (JG?),
u/f+1+2,m (TJ),35,35~63d js9~,-19~+10,KND,KND,
u/f+3+4,m (TJ),25,31~36 js6~,-3~+2s,+7~+12s,KND,
"f, F+2",m,20,16(17~),-13,KND,KND,
"f, F+3",m,20,17(18~),-10,KND,CS,
"f, F+4",m,17,17(18~),-8,+3,+3,
"f, F+4, 2","m, h",1725,17(18~),-4~-3,Launch (JG?),Launch (JG?),
"f, F+1+2",m,20,17(18~),-16,CS,CS,Homing
"f, F+1+2, 1+2","m, h",2020,17(18~),-1~0,KND,KND,
"f, f, f+2",m,30,21~24 (24~),+7~+10g,KND,KND,
WS+1,m,17,11~12,-7~-6,+3~+4,+3~+4,
WS+2,m,19,15~16,-5~-4,+4~+5,+4~+5,
"WS+2, 3","m, m",1924,15~16,-13,KND,KND,
"WS+2, 4","m, m",1920,15~16,-14,KND,KND,
"WS+2, 4, F","m, m, (GOL)",1920,15~16,-27,KND,KND,
"WS+2, 4*","m, m",1940,15~16,+27g,KND,KND,
"WS+2, 4*, F","m, m, (GOL)",1940,15~16,+19,KND,KND,
WS+3,m,25,18~20,-13~-11,Launch (JG?),Launch (JG?),
WS+4,m,21,13~14,-12~-11,KND,CS,
FC+d/f+2,l,20,28~29 cs1~,-19~-18,KND,KND,
SS+2,h,25,28~29a (37~),-12~-11,KND,KND,Tail spin
Face down Grounded 2,l?,20,22~24,-16~-14,+1~+3,KND,
Face down Grounded 1+2,m,30,35~36,0~+1,KND,KND,
f+3+4 or From special move,(GOL),,35~36,,,,
GOL 1 (After two step),m,25,26~27 (85~86),+7~+8,KND,KND,
GOL 1 (After three step),m,40,26~27 (114~115),+7~+8,KND,KND,
GOL 2 (After two step),h!,28,24~26 (83),KND,KND,KND,
GOL 2 (After three step),h!,40,24~26 (112),KND,KND,KND,
GOL 1+2 (After two step),m (TJ),15,"49~55a,d (105~) js36~",+4~+10,KND,KND,
GOL 1+2 (After three step),m (TJ),30,"49~55a,d (136~) js36~",+4~+10,KND,KND,
d/b+3+4 (to SG),(Special)?(SG),,"49~55, (136~) 36~",,,,
SG 1,h,25,15~16 (36~),+5~+6,Launch (JG?),Launch (JG?),
SG 2,m,30,20~22 (41~),-5~-3,KND,KND,
SG u/b,(Special) (TJ),,a,,,,
