Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
"in rage b+2, 1+2","m, h",2021,20 8~17,+9~+10s,BU,BU,Rage art
1,h,7,10,+1,+8,+8,
"1, 1","h, h",76,10,-1,+8,+8,
"1, 1, 2","h, h, m",7612,10,-17,KND,KND,
"1, 2","h, h",78,10,-1,+7,+7,
"1, 2, 2","h, h, h",7812,10,-12,+4,+4,
"1, 2, 2~1+2","h, h, m",7825,10,-6~-5,KND,KND,
"1, 2, 2~1+2 u or d","h, h, (Special)",78,10,-16,-9,-9,
"1, 2, 4","h, h, h",7821,10,-9,KND,CS,
"1, b+2","h, m",721,10,-2,+8,+8,
"1, b+2, 1","h, m, m?",72120,ar36~,-27~-23,Launch,Launch,
"1, b+2, 4","h, m, m (TJ)",72130,js17~,+5,KND,KND,
2,h,10,10,0,+9,+9,
"2, 2","h, h",1018,10,-13,-2,-2,
"2, 2~1+2","h, m",1025,10,-6~-5,KND,KND,
"2, 2~1+2 u or d","h, (Special)",10,10,-14,-5,-5,
3,h,15,14,-10,+1,+1,
"3, 4","h, m",1520,14,-14~-13,+3~+4,CS,
4,h,21,16,-9,KND,CS,
4~3 WS+4~3,m (TJ),25,35~37d (36~) js10~,-11~-9,KND,KND,
1+2,m,25,12~13,-12~-11,KND,KND,
f+2,h,13,15~16,-9~-8,+2~+3,+2~+3,
"f+2, 3","h, m",1320,15~16,-3~-1,KND,CS,
f+2~1+2,m,25,16(17~),-6~-5,KND,KND,
f+2~1+2 u or d,(Special),,16(17~),,,,
f+3,m,20,18~20,-3~-1,KND,CS,
f+4,m,20,19~20,+4~+5s,+7~+8s (+13~+14),KND,
f+1+2,h,15,12~13,-14~-13,KND,KND,
d/f+1,m,10,13~14,-1~0,+9~+10,+9~+10,
"d/f+1, 1","m, h",108,13~14,-2,+4,+4,
"d/f+1, 2","m, m",1021,13~14,-13~-12s,KND,KND,
d/f+2,m,14,15~16,-7~-6,+4~+5,Launch (JG?),
d/f+4,m,15,12,-6,+5,+5,
d/f+1+2,m,25,24~25 pc8~23,-14~-13,KND,KND,Power crush
d+1,m,16,17~18,-9~-8,+2~+3,+2~+3,
"d+1, D",m,16,17~18s,-9~-8,+2~+3,+2~+3,
"d+1, 2","m, m",1617,17~18,-9~-8,+6~+7,KND,
d+3 or d/f+3+4,m,25,22~23,-7~-6s,KND,KND,
d+1+4,!,50,60,KND,KND,KND,
d+2+3,(Special)!,0,63,-3,-3(KND),-3,
d/b+2,l (TC),23,23~25s cs8~,-18~-16,+5~+7s,+5~+7s,
d/b+1+2,mm?,1020,"21~22, 38~39",-13~-12,+5~+6,+5~+6,
b+1,h,14,15~16,-11~-10,-5~-4,-5~-4,Homing
"b+1, 2","h, h",1420,15~16,-9,+15kg,CS,Tail spin
"b+1, 2~1+2","h, m",1425,15~16,-6~-5,KND,KND,
"b+1, 2~1+2 u or d","h, (Special)",14,15~16,-19~-18,-13~-12,-13~-12,
b+2,m,20,22~23,-2~-1,+8~+9,CS,
