Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d/f+1+2,m,55,20 pc8~17 ar20~,-22,KND,KND,Rage art
"in rage f, n, d, d/f+3+4",mm,1024,"14~15, 24~26 (17~) js12~",+8~+10,TKMU,TKMU,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",78,10,-1,+7,+7,
"1, 2, 2","h, h, h",7810,10,-13,+9,+9,
"1, 2, 3","h, h, m",7818,10,-11,+5,FS(+7) 20,
"1, 2, 4","h, h, h, (SWS)",7822,10,+11,+21g,Launch (JG?),
"1, 2, d+4","h, h, l",7813,10,-16,-5,-5,
"1, 2, d+4, 4","h, h, l, h",781325,10,-4~-3,KND,KND,Tail spin
"1, 4","h, h",710,10,-4,+7,+7,
"1, 4, 3","h, h, m",71012,10,-15,+1,+1,
2,h,8,12,+1,+7,+7,
"2, 3","h, m",818,12,-11,+5,FS(+7) 20,
"2, 4","h, h, (SWS)",822,12,+11,+21g,Launch (JG?),
"2, d+4","h, l",813,12,-16,-5,-5,
"2, d+4, 4","h, l, h",81325,12,-4~-3,KND,KND,Tail spin
3,m,11,13~14,-8~-7,+3~+4,+3~+4,
"3, 2","m, m",1118,13~14,-12~-11,+5~+6,KND,
"3, 2, f","m, (CD)",11,13~14,-7~-6,+4~+5,+4~+5,
"3, 3","m, h",1121,13~14,-1,KND,KND,Tail spin
"3, f+3","m, m (TJ)",1127,js11~,-14~-13,KND,KND,
4,h,16,12,-7,+6,Launch (JG?),
1+2,Right Punch reversal,50,2~,,Attack returned(KND),,
3+4,h,27,16~17,-9~-8,KND,KND,"Tail spin, Homing"
f+2,h,10,12,-8,+3,+3,
"f+2, 3","h, l",1013,12,-11,0,0,
"f+2, 3, 4","h, l, h",101320,12,-4~-3,KND,KND,Tail spin
"f+2, 4","h, h",1023,12,-13~-12,KND,KND,
f+3,m,18,18,-3,+8,+12a,
f+4,m,13,17,-4,+1,+1,
"f+4, 3","m, m",1314,17,-10~-9,+1~+2,+1~+2,
f+1+2,h (TJ),20,14~15 js6~,-5~-4,KND,KND,
f+3+4,m,23,16,-7,KND,CS,
d/f+1,m,14,16~17,-7~-6,+4~+5,+4~+5,
"d/f+1, 2","m, h",1412,16~17,-6~-5,+5~+6,+5~+6,
"d/f+1, 4","m, l",1412,16~17,-16,0,0,
"d/f+1, 4, 2","m, l, h (TJ)",141221,16~17,-7,KND,KND,
"d/f+1, 4~4","m, m",1420,16~17,-11,CS,CS,
d/f+2,m,10,15~16,-13~-12,Launch (JG?),Launch (JG?),
d/f+3,l (TC),15,26~28 cs6~,-13~-11,+1~+3,+1~+3,
"d/f+3, 2","l (TC), m",1518,26~28 6~,-12,+5,KND,
"d/f+3, 2, f","l (TC), (CD)",15,26~28 6~,-8~-6,+6~+8,+6~+8,
d/f+4,"m, (SWS)",15,14,+11,+16g,+16,
d/f+3+4,m (TJ),26,26 pc8~25 ar26~,-12,Launch,Launch,Power crush
d+2,m,16,20,-2,+3s,+3s,
d+3,l,11,16,-17,-6,-6,
"d+3, 4","l, h, (SWS)",1115,16,+11,+21g,Launch (JG?),
d+4,l,8,15,-10,+1,+6,
