Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 3+4,m,55,20 pc8~17,-22,KND,KND,Rage art
in rage HAR 1+2,"m (TJ)(, (throw))",35515,15~16 (30~),+5~+6s,Throw(KND),Throw(KND),Rage art
1,h,7,10,+1,+8,+8,
"1, 1","h, h",710,10,-2~-1,+4~+5,+4~+5,
"1, 1, F","h, h, (HAR)",710,10,-1~0,+5~+6,+5~+6,
"1, 1, 1","h, h, m",71023,10,-5~-4,-1~0,-1~0,
"1, 1, 2","h, h, h",71017,10,+7,+9,+9,
"1, 1, 3","h, h, m (TJ)",71020,js14~,-7~-6,KND,KND,
"1, 1, 4","h, h, m",71021,14~,-19~-17,Launch (JG?),Launch (JG?),
"1, 2","h, h",710,14~,-3,+3,+3,
"1, 4","h, l",710,14~,-12,+1,+1,
2 or f+2,h,10,12,-3,+8,+8,
"2, 2","h, h",1020,12,-12~-11,+10~+11kg,+10~+11kg,Tail spin
3 or WS+3,m,14,16,-5,+6,+6,
"3, 3","m, m",145,16,-9,+2,+2,
"3, 3, 3","m, m, m",1455,16,-7,+4,+4,
"3, 3, 3, 3","m, m, m, h",14555,16,-13,-2,-2,
"3, 3, 3, 3, 3","m, m, m, h, m",1455515,16,-14,-3,-3,
"3, 4 or WS+3, 4","m, h",1420,16,-13,KND,KND,
4,h,17,11,-7,+8,Launch (JG?),
"4, 4","h, m (TJ)",1720,11a,-7,+4,+4,
"4, 4, 4","h, m (TJ), h",172010,11,-5~-4,+1~+2,+1~+2,
"4, 4, 4, f","h, m (TJ), h, (HAR)",172010,11,-1~0,+5~+6,+5~+6,
"4, 4, 4, 4","h, m (TJ), h, h",17201021,11,-6~-5,+5~+6,+5~+6,
"4, 4, 4, 4, 4","h, m (TJ), h, h, m",1720102125,11,-9,-7,-7,
f+3,m (TJ),27,24~25 js6~,-9~-8s,KND,KND,
f+1+2,h,20,23,-12s,KND,KND,
f+3+4,m,23,24 pc8~23,-17,KND,KND,Power crush
d/f+1,m,13,13,-1,+5,+5,
"d/f+1, 1","m, h",138,13,-7,+4,+4,
"d/f+1, 1, f","m, h, (HAR)",138,13,-1,+10,+10,
d/f+2,m,17,17~18,-7~-6,+4~+5,+4~+5,
"d/f+2, 2","m, m",1721,17~18,-10,KND,KND,
"d/f+2, 4","m, h",1717,17~18,+1~+2,+17~+18kg,+17~+18kg,Tail spin
d/f+3,m,15,15~16,-9~-8,-1~0,-1~0,
"d/f+3, 3","m, l (TC)",1524,cs19~,-19~-18,KND,KND,
"d/f+3, 3, d (Cancel)",m,15,19~s,-20~-19,-12~-11,-12~-11,
d/f+4,m,17,15,-9,+2,CS,
d/f+3+4,l (TC),21,25~26s cs6~,-16~-15s,0~+1s,KND,
d+1,m,20,17,-7s,+3s,KND,
d+2,m?,18,20~21,-11~-10,0~+1,CS,
"d+2, F","m?, (HAR)",18,20~21,+3~+4,+14~+15g,CS,
d+3,l,12,16,-11,0,0,
"d+3, 3","l, m",1218,16,-13~-12,0~+1,0~+1,
"d+3, 4","l, h",1218,16,-4,+6,+6,
d/b+3,l (TC),24,25~27 cs6~,-26,KND,KND,
d/b+4,l (TC),24,29~30 cs6~,-26,KND,KND,Homing
d/b+3+4,! (TJ),60,68 js54~,KND,KND,KND,
b+1,m,13,14,-9,+2,+2,
"b+1, f","m, (HAR)",13,14,+3,+14g,+14g,
"b+1, 1","m, m",1315,14,-8~-7,+3~+4,+3~+4,
"b+1, 2","m, m",1310,14,-8,+5,+5,
b+2,m?,18,27~28,-13~-12,Launch (JG?),Launch (JG?),
b+3,m,15,12,-9,+2,+7,
b+4,m,17,17~18,-15~-14,+8~+9,CS,
"b+4, 1+2","m, h",1720,17~18,-12s,KND,KND,
b+3+4,mm?,1020,"23~24, 31~32",-17~-16,KND,KND,
b+3+4 (Second hit only),m?,20,31~32,-17~-16,KND,KND,
u/b+4,m,25,16~18,-14~-12,KND,KND,
u/b or u or u/f+3,m,22,19~20 ar19~,-13~-11,Launch (JG?),Launch (JG?),
u or u/f+4,m,10,15~16 js9~,-15~-14,-4~-3,-4~-3,
"u/f+4, 4","m, m",1010,js1~21,-13~-12,BU,BU,
"u/f+4, 4, 4","m, m, m (TJ)",101010,1~21a,-7~-6,+4~+5,+4~+5,
"u/f+4, 4, 4, 4","m, m, m (TJ), h",10101010,1~21,-5~-4,+1~+2,+1~+2,
"u/f+4, 4, 4, 4, F","m, m, m (TJ), h, (HAR)",10101010,1~21,-1~0,+5~+6,+5~+6,
"u/f+4, 4, 4, 4, 4","m, m, m (TJ), h, h",1010101021,1~21,-6~-5,+5~+6,+5~+6,
"u/f+4, 4, 4, 4, 4, 4","m, m, m (TJ), h, h, m",101010102125,1~21,-9,-7,-7,
u/f+3+4,mm (TJ),1020,"17~18a ,39 js17~",-10,KND,KND,
"f, F+2",h,13,12(13~),-5,+6,+6,
"f, F+2, 4","h, h",1320,12(13~),-14~-13,KND,KND,Tail spin
"f, F+3",m (TJ),20,24~25a (25~) js9~,-6~-5s,KND,KND,
"f, F+4",m,27,17~18 (18~),-13~-12,KND,KND,"Tail spin, Homing"
"f, f, f+3",m (TJ),30,26~28a (29~) js3~,-5~-3,KND,KND,
WS+1,m,13,13~14,-6~-5,+5~+6,+5~+6,
"WS+1, 1","m, h",138,13~14,-7~-6,+4~+5,+4~+5,
"WS+1, 1, f","m, h, (HAR)",138,13~14,-1~0,+10~+11,+10~+11,
WS+2,m,20,15~16,-13~-12,Launch (JG?),Launch (JG?),
WS+3,m,14,16,-5,+6,+6,
WS+4,m,15,11~12,-3~-2,+8~+9,+8~+9,
FC+d/f+4,l (TC),24,17s cs1~,-16,0s,0s,
Opponent Down d+3+4,On grounded opponent(l),24,26,-21,-10,-10,
1+2+3,(Special),,26,,,,
f+4,(HAR),,26,,,,
"f+4, d",(Special) (TC)(HAR),,s,,,,
HAR 1,h,12,12~13 (27~),-3~-2,+17~+18kg,+17~+18kg,
HAR 2,m,20,18(33~),-14s,KND,KND,
HAR 3,l?,25,26~27a (41~) js6~25 cs26~,-25~-24,KND,KND,
HAR 4,m (TJ),27,15~16a (30~) ar15~,-13~-12,KND,KND,
HAR u/f+3,m (TJ),20,27~28a (42~) js11~,-6~-5s,KND,KND,
