Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
in rage SEN 1+2,"m, (DEN)",27,12~13,+7~+8,KND,KND,Rage art
"in rage SEN 1+2, b+2+3","m, !",2733,12~13,KND,KND,KND,
1,h,7,10,+1,+8,+8,
"1, 1","h, m",710,10,-8~-7,0~+1,0~+1,
"1, 1, 1","h, m, m",71017,10,-12~-11,+3~+4s,KND,
"1, 2","h, h",79,10,-1,+7,+7,
"1, 4","h, l",710,10,-12~-11,+1~+2,+1~+2,
2,h,10,10,0,+8,+8,
"2, 1","h, m",107,10,-7~-6,+4~+5,+4~+5,
"2, 1, 3","h, m, m",10720,10,-12~-11,KND,KND,
"2, 1, 4","h, m, h",10727,10,-7~-6,KND,KND,Tail spin
3,h,16,15,-12,+5,+5,
"3, D",h,16,15s,-12,+5,+5,
4,h,27,17~18,-7~-6,KND,KND,Tail spin
f+1,h,10,13,-5,+6,+6,
"f+1, 2","h, m, (SEN)",1011,13,-5,+6,+6,
"f+1, 2, 3","h, m, m, (DEN)",101120,13,-9,KND,KND,
f+2,h,10,12,-6,+3,+3,
"f+2, 1","h, h, (SEN)",1012,12,-5,+6,+6,
"f+2, 4","h, h",1022,12,-12~-11,KND,KND,
f+4,m,12,17,-9,+7,+7,
"f+4, 1","m, m",128,17,-9~-8,+2~+3,+2~+3,
"f+4, 1, 2","m, m, m",1288,17,-10,+2,+2,
"f+4, 1, 2, 1","m, m, m, m",128820,17,-14~-13,ED,ED,
f+1+2,m,20,15~16,-14~-13,CS,CS,
f+1+4,m,28,13,-18,ED,ED,
d/f+1,m,14,13,-1,+5,+5,
d/f+2,m?,15,16,-8,+3a,+3a,
"d/f+2, 1","m, h",1520,16,-7~-6,KND (KND),KND,Tail spin
d/f+3,m,15,16,-7,+3,+3,
"d/f+3, D","m, (DEN)",15,16,-4(-8),+6,+6,
"d/f+3, 3","m, m",1520,16a,-20~-19,KND,KND,
d/f+4,m,16,15~16,-8~-7,+2~+3,+2~+3,
d/f+1+2,m,25,25 pc8~24,-12,KND,KND,Power crush
d+2,m,17,18~19,0~+1s,+8~+9s,KND,
d+3,l,8,15,-14,-3,-3,
"d+3, 1","l, hh",8410,15,-7,+4,+4,
d+1+2,l (TC),25,24~25s cs20~,-20~-19,KND,KND,
d/b+1,l (TC),9,17s cs6~,-12,-1,-1,
"d/b+1, 3","l (TC), h",910,17 6~,-12,-1,-1,
"d/b+1, 3, D","l (TC), h",910,17 6~s,-12,-1,-1,
d/b+2,m,12,15,-8,+3,+3,
"d/b+2, F","m, (SEN)",12,15,-5,+6,+6,
"d/b+2, 1","m, m",128,15,-8~-7,+6~+7,+6~+7,
"d/b+2, 3","m, m",1215,15,-13,0,+23g(KND),
"d/b+2, 3* (Very long hold)","m, m",1225,15,+8,KND,KND,
d/b+4,l (TC),17,21~22s cs6~,-26,+5~+6s,KND,
d/b+1+2,m?,18,26~27,-14~-13,+5~+6,CS,
b+1,m,17,15~17,-9~-7,+4~+6,+6~+8,"Homing, Tail spin"
b+2,m,12,16,-7,+4,+4,
"b+2, 1","m, m",1217,16,-10,+3,CS,
"b+2, 3","m, h",1221,16,-8~-7,KND,KND,
b+3,m,14,17,-12,+4,+4,
"b+3, F","m, (SEN)",14,17,-5,+11,+11,
"b+3, 4","m, h",1420,17,-12~-11,KND,KND,
b+4,m,23,15,-8,+8,Throw(KND),
b+4(CH in front),"m, (throw)",2723,15,,,Throw(KND),
b+1+2,mm?,820,"21~22, 31~32",-11~-10,+6k,+6k,Homing
b+2+3,!,45,84~85,KND,KND,KND,
u/b or u or u/f+3,"m (TJ)(, m)","12(,14)","16~17s (,34) js12~",-26~-25 (13~6a),Launch,Launch,
u/b+4,m (TJ),20,25~27 js9~,-9~-7,KND,KND,
u or u/f+4,m (TJ),20,25~27 js9~,-9~-7,KND,KND,
"f, F+2",m,20,21~22 (22~),-13~-12,Launch,Launch,
"f, F+2 When hit f","m, (SEN)",20,21~22 (22~),,Launch,Launch,
"f, F+3",m,22,18~19 (19~),-8~-7,KND,KND,
"f, F+4",l,14,21(22~),-31,+5,+5,
"f, F+4, 3","l, m",1420,21(22~),-16,0,0,
"f, F+1+2",m,20,16~17 (17~),-11~-10,KND,KND,
"f, F+3+4",ll,1115,"19~20 ,29~30 (20~) cs21~",-16~-15,0~+1s,0~+1s,
"f, b+2",m,10,14(14~),-12,0,0,
"f, b+2, 1","m, m",1010,14(14~),-18~-17,BU,BU,
"f, f, f+3",m (TJ),30,20~26 (23~) js3~,+8~+14g,KND,KND,
WS+1,m,16,15~16,-12~-11,Launch,Launch,
WS+1 When hit f,"m, (SEN)",16,15~16,,Launch,Launch,
WS+2,m,10,13~14,-9~-8,+2~+3,+2~+3,
"WS+2, F","m, (SEN)",10,13~14,-5~-4,+6~+7,+6~+7,
"WS+2, D","m, (DEN)",10,13~14,-12~-11,-1~0,-1~0,
"WS+2, 1","m, m",1017,13~14,-12~-11s,+2~+3s,KND,
WS+3,h,30,20,+7,KND,KND,
WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,
FC+d/f+1+2,ll,1014,"18,31~32 cs1~",-12~-11,+1~+2,+1~+2,
SS+2,m,20,16~17 (25~),-7~-6,KND,KND,
Opponent Down d+3+4,l,16,22~23,-14~-13,-3~-2,-3~-2,
"Opponent Down d+3+4*, F","l, (SEN)",16,22~23,-14~-13,-3~-2,-3~-2,
1+2+3+4,(Special),,22~23,,,,
"1+2+3+4, 2",m,20,16~17 (46~) js14~,-18~-17,Launch (JG?),Launch (JG?),
SEN only from certain moves,(SEN),,16~17 (46~) 14~,,,,
SEN 1,m,27,12~13,-10~-9,KND,KND,
SEN 2,l,20,22~23s cs12~,-13~-12,+3~+4s,KND,
SEN 3,m,20,14~16 ar14~,-14~-12,Launch (JG?),Launch (JG?),
SEN d/f+1,m,20,14~15,-4~-3s,+4~+5s,+4~+5s,
f+3 or Form certain moves,(Special),,14~15,,,,
DEN 1,h,14,11~12 (26~),-3~-2,+8~+9,+8~+9,
"DEN 1, F","h, (SEN)",14,11~12 (26~),-5~-4,+6~+7,+6~+7,
"DEN 1, 2","h, h",1420,11~12 (26~),-6~-5,KND,KND,
DEN 2,m?,17,17~19 (32~),-8~-6,+6~+8,CS,
DEN 3,m,25,27~30 (42~),+6~+9,KND,KND,
DEN 1+2,h,20,12~13s (28~),-10~-9,KND,KND,Tail spin
DEN 2+3,h(Throw),2020,12(27~),,Throw(KND),,
DEN 2+3 (Opponent in air),Air throw,238,12(27~),,Throw(KND),,
u/b or u or u/f+3+4,(Special) (TJ),,"lc,a",,,,
u/b or u or u/f+3+4*,h(Throw),40(50),9(25) js1~,,Throw(KND),,
"u/f+3+4, 1",l,20,23~24s (53~) js1~10 cs20~,-13~-12,+3~+4s,KND,
"u/f+3+4, 4",m,"20(,20)",17~18 (37~) js1~,-8~-7,+8~+9s,Throw(KND),
