Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 3+4,m (TJ),55,20 pc8~17 js8~,-22,KND,KND,Rage art
"in rage d/f+3+4, 3","m, h",1426,20 8~17 8~,+9~+10,KND,KND,"Rage art, Homing"
1,h,7,10,+1,+8,+8,
"1, 2","h, h",712,10,-1,+8,+8,
"1, 2, 3","h, h, l (TC)",71210,cs10~,-13,-2,KND,
"1, 2, 4","h, h, m (TJ)",71220,js21~,-9~-4,KND,KND,
2,h,8,10,0,+8,+8,
"2, 3","h, l (TC)",810,cs10~,-13,-2,KND,
"2, 4","h, h",820,10~,-2~+2,KND,KND,Tail spin
3,m,12,15~16b,-11~-10,-3~-2,-3~-2,
"3, 1","m, m",1220,15~16,-13~-12,KND,KND,
"3, 2","m, h",128,15~16,-5,+2,+6,
"3, 2, 3","m, h, h (TJ)",12822,js13~,-9~-6,KND,KND,
4,h,16,12,-4,+7,+7,
"4, 1","h, h",167,12,-1,0,+2,
"4, 1, 3","h, h, m",16710,12,-11~-9,0~+2s,+8~+10s,
1+2,m,26,12,-12,KND,KND,
f+2,h,12,13~14,-9~-8,-1~0,-1~0,
"f+2, 3","h, m",1220,13~14,-12~-11,KND,KND,
f+3,m,26,20~22,-6~-4,KND,KND,"Homing, Tail spin"
f+4,m,23,17,-9,KND,KND,
f+1+2,m,19,14~15,-6~-5,+3~+4s,KND,
f+3+4,mm (TJ),822,"18~20, 35~37 js12~24",-4~-2,KND,KND,
f+3+4 (First hit only),m,8,18~20 js12~24,-25~-23,KND,KND,
f+3+4 (Second hit only),m,22,35~37,-4~-2,KND,KND,
f+3+4~3,"m (TJ), m",820,"18~20, 54~57 (12js~)",-8~-5,KND,KND,
"f+3+4~3, 4","m (TJ), m, m",82020,js18~,-20~-16,KND,KND,
d/f+1,m,12,13,-1,+7,+7,
d/f+2,m,16,16~17,-11~-10,Launch (JG?),Launch (JG?),
"d/f+2, B",m(BT),16,16~17b,-11~-10,Launch (JG?),Launch (JG?),
d/f+3,m,23,20~22,+3~+5s,+8~+10g,KND,
d/f+4,m,14,15~16,-8~-7,-2~-1,+5~+6,
"d/f+4, 4","m, l",1421,15~16,-15~-14,+1~+2,+6~+7,
d/f+3+4,m (TJ),14,24~29b js12~,-4~+1,KND,KND,
"d/f+3+4, 3+4","m (TJ), mm (TJ)",14520,b js14~,-7~-6,KND,KND,
"d/f+3+4, 3+4 (Third hit miss)","m (TJ), m",145,b js14~,-18~-16,KND,KND,
d+1,l (TC),10,18~19 cs11~,-11~-10,0~+1,0~+1,
"d+1, D",l (TC),10,18~19s cs11~,-11~-10,0~+1,0~+1,
"d+1, 2","l (TC), h",108,18~19 11~,-8~-7,+3~+4,+5~+6,
"d+1, 2, B","l (TC), h, (BT)",108,18~19 11~b,-8~-7,+3~+4,+5~+6,
"d+1, 2, 4","l (TC), h, m",10824,18~19 11~,-9~-7,KND,KND,Tail spin
d+2,m,16,16~17,-7~-6,-1~0,-1~0,
"d+2, 2","m, h",1610,16~17,-10~-9,-4~-3,-2~-1,
"d+2, 2, 3","m, h, h",161024,16~17,-3~-1,KND,KND,Tail spin
"d+2, 2, 4","m, h, m",161024,16~17,-17,KND,KND,
d+3,l,14,19~20,-12~-11,+1~+2,+1~+2,
d+3+4,m?,23,17~21a,-21~-17,Launch(JG?),Launch(JG?),
d/b+3,h,20,19~22 cs6~16,-9~-6,KND,KND,Tail spin
d/b+4,l (TC),20,30~31 cs5~,-24,YKU,YKU,Homing
d/b+3+4,l,20,24~25s cs6~,-18~-17,KND,KND,
b+1,m?,16,17~18,-6~-5,+2~+3,+2~+3,
"b+1, F","m, (Special)",16,17~18,+1~+2,+9~+10,+9~+10,
"b+1, 4","m, m",1622,17~18,-11~-10,KND,KND,
b+2,h,15,13,-11,0,0,
"b+2, 1","h, m",1513,13,-4~-3,+7~+8,+7~+8,
"b+2, 1, B","h, m(BT)",1513,13b,-4~-3,+7~+8,+7~+8,
"b+2, 1, 1+2","h, m, m",151327,13,-12~-11,KND,KND,
b+3 or BT b+3,(Special) (TJ),,13,,,,
b+4 or BT b+4,(Special) (TJ),,13,,,,
"b+3 or 4, f",(Special) (TJ),,RC,,,,
"b+3, 3 or b+4, 3","(Special) (TJ), l (TC)",25,24~25s (49~),-18~-17,KND,KND,
"b+3, 4 or b+4, 4","(Special) (TJ), m (TJ)",27,23~29 (48~),-6~0,KND,KND,
b+1+2,m,24,23~24,-14~-13,KND,KND,
b+1+4,! (TJ),50,63~65 js56~,KND,KND,KND,
u/b or u or u/f+2,m,21,20~21,-12~-11,KND,KND,
u/b or u+3,m (TJ),25,22~23 js16~,-16~-15,Launch (JG?),Launch (JG?),
"u/b or u+3, f","m (TJ), (Special)",25,22~23 js16~,-13~-12,Launch (JG?),Launch (JG?),
"u/b or u+3, 3","m (TJ), m (TJ)",2515,js9~,-12,0,0,
u+3+4,"m (TJ), (Throw)","18(,5,5)",36~39 js5~,-8~-5,Launch (JG?)(Throw),Launch (JG?)(Throw),
u+3+4 (Far),m (TJ),18,36~39 js5~,-8~-5,KND,KND,
u/f+3,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
u/f+4,m (TJ),18,28~32 js12~,-12~-8,+1~+5s,+1~+5s,
"u/f+4, 3","m (TJ), m",1823,28~32 12~,-9,KND,KND,
u/f+3+4,m (TJ),15,15~18 js9~,-9~-6,+2~+5,+2~+5,
"u/f+3+4, 3","m (TJ), h",1518,15~18 9~,-9,0,KND,
"u/f+3+4, 3+4","m (TJ), m?",1522,15~18 9~a,-21~-17,Launch(JG?),Launch(JG?),
"f, F+2",m,20,18(19~) pc6~17,-17,CS,CS,Power crush
"f, F+3",m (TJ),15,22a(23~) js7~,-12,0,0,
"f, F+3, F","m (TJ), (Special)",15,js7~,-3,+9,+9,
"f, F+3, 3+4","m (TJ), mm",15520,js1~31,-8~-7,KND,KND,
"f, F+3, 3+4 (Only two first hits)","m (TJ), m",155,js1~31,-20~-19,-9~-8,-9~-8,
"f, F+4",l,23,22~23 (23~),-12~-11,+4~+5,+9~+10,
"f, F+4, B",l(BT),23,22~23b (23~),-12~-11,+4~+5,+9~+10,
"f, F+1+2 (one spin)",m,28,18~19 (29~30),-9~-8,KND,KND,Homing
"f, F+1+2* (two spins)",m,38,18~19 (52~53),+5~+6,KND,KND,Homing
"f, F+1+2* (Very long hold)",!,50,18~19 (75~76),KND,KND,KND,Homing
"f, F+3+4",m (TJ),30,19~25a (20~) js11~,-6~0,KND,KND,
"f, f, f+3",m (TJ),30,23~30 (26~) js3~,0~+7,KND,KND,
WS+1,m,15,13~14,-11~-10,0~+1,0~+1,
"WS+1, 2","m, h",1516,13~14,-3~-2,+8~+9,+8~+9,
"WS+1, 2, 4","m, h, l",151620,cs12~,-14~-13,KND,KND,
WS+2,m?,17,16~18,-12~-10,Launch (JG?),Launch (JG?),
"WS+2, B",m?(BT),17,16~18b,-12~-10,Launch (JG?),Launch (JG?),
WS+3,m,20,16~17 ar13~,-21~-20,Launch (JG?),Launch (JG?),
"WS+3, 4","m, m",2025,js27~43,+4~+7s,KND,KND,
WS+4,m,18,11~12,-8~-7,KND,KND,
FC+d/f+1,m?,25,14~15,-12~-11,SH,SH,
"FC+d/f+3 or d, D/F+3","l (TJ), (TC)",19,23~32 cs18~,-18~-9,-2~+7,KND,
SS+3,m,20,18~19 (27~),-9~-8,KND,KND,
SS+1+2,m,21,19~20 (28~),-2~-1,KND,CS,
qcf or From certain moves,(Special),,RC,,,,
qcf+1,m,16,15~16 (17~),-12~-11,-1~0,-1~0,
"qcf+1, 2","m, m",1620,15~16 (17~),-14~-13,KND,CS,
"qcf+1, 2, B (Cancel)",m(BT),16,15~16 (17~)b,-19~-18,-8~-7,-8~-7,
qcf+2,m,13,16~17 (18~),-10~-9,-2~-1,-2~-1,Homing
"qcf+2, 1","m, m",1320,16~17 (18~),-7~-6,+2~+3s,KND,
qcf+3,m,20,16~17 (18~),-21~-20,Launch (JG?),Launch (JG?),
"qcf+3, 4","m, m",2025,16~17 (18~)a,+4~+7s,KND,KND,
qcf+4,m,18,11~12 (13~),-8~-7,KND,KND,
qcf+3+4,hh,620,"12~14, 22~23 (14~) js12~",+6~+7,KND,KND,
b+3+4 (to BT),(BT),,b,,,,
BT 1,h,8,8,-8,+3,+3,
"BT 1, 2","h, h",813,8,-3,+5,+5,
BT 2,m,17,14~16,-5~-3,KND,KND,Tail spin
BT 3,h,25,10,-8,KND,KND,
