Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 3+4,l (TC),50(or60or65),20 cs8~17 pc8~17,-27,KMUD,KMUD,Rage art
in rage d/f+3+4 or FC+d/f+3+4,mmm,121225,"17,46, 78~80",+3~+5s,Launch,Launch,Rage art
in rage d/f+3+4B,"m, mm",121225,"17,46, 78~80b",-4~-2s,Launch,Launch,Rage art
"in rage d/f+3+4, When hit 1+2","mmm, h","12,12,25,62(74)","17,46, 78~80",,KND,KND,Rage art
1 or BT 1 or 2,h,7(12),10,+1,+8,+8,
"1, 2","h, m",712,10,-4,+7,+7,
"1, 2, 1","h, m, m",71220,10,-11,KND,KND,
"1, 2, 2","h, m, m",71220,10,-4~-3,+2~+3s,KND,
"1, 2, 1+2","h, m, hh",7121220,10,-2~-1,+13kg,KND(+13kg),Homing
2,h,12,12,-4,+7,+7,
"2, 2","h, h",1217,12,-12,+4,+4,
2:3,"h, l, (TWISTL)",1210,12,-11,+7s,+7s,
3,m,17,15,-7,+4,+4,
"3, 4","m, m?",1716,15,-14,Launch (JG?),Launch (JG?),
4,m,15,12,-9,+2,+7,
1+2,hh,1220,"22~23, 30~31",-2~-1,+13kg,KND(+13kg),Homing
f+2,m,12,17,-4,+7,+7,
"f+2, 1","m, m",1220,17,-11,KND,KND,
"f+2, 2","m, m",1220,17,-4~-3,+2~+3s,KND,
"f+2, 1+2","m, hh",121220,17,-2~-1,+13kg,KND(+13kg),Homing
f+3,m,15,16~17,-11~-10,+5~+6,+5~+6,
f+4,m (TJ),14,"27 js9,10,13~",-4,+9s,+9s,
"f+4, b",m (TJ),14,"27b~js9,10,13~",-4,+9s,+9s,
"f+4, 4","m (TJ), m (TJ)",1410,js15~,-13,KND,KND,
"f+4, 4, b","m (TJ), m (TJ)",1410,b js15~,-9,KND,KND,
f+1+2,h,32,25~27,-5~-3,KND,KND,
f+3+4,mml,141616,"29~30a, 37~38, 70~73 js19~",-11~-8,+8~+11s (KND),+8~+11s (KND),
"f+3+4, 3","mm, m",141610,"29~30a, 37~38, 70~71 js19~",-17~-16s,KND,KND,
