Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage b+1+2 in rage SAV b+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
in rage d/b+1+2,mm,1010,"17~18, 37~38",+3~+4,KND,KND,"Rage art, Tail spin"
in rage d/b+1+2 (Second hit miss),m,10,17~18,-?,KND,KND,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",712,10,-1,+5,+5,
"1, 2, 4","h, h, h",71216,10,+3,+8,+8,
"1, 2, 4, F","h, h, h, (SAV)",71216,10,+3,+8,+8,
"1, 2, 1+2","h, h, m",71230,10,+4~+5s,KND,KND,
"1, 3","h, l",712,s cs12~,-12,+1,+1,
2,h,12,11,-8,+3,+8,
"2, 1","h, h",1215,11,-4~-3,+7~+8,+7~+8,
"2, 1, f","h, h, (SAV)",1215,11,-4~-3,+7~+8,+7~+8,
3,h,16,15,-7,+2,+2,
"3, 4","h, m",1620,15,-11~-10,KND,CS,Tail spin
4,h,17,12,-7,+4,Launch (JG?),
1+2,m,20,19~20,-7~-6,+4~+5s,+4~+5s,
"1+2, d",m,20,19~20s,-7~-6,+4~+5s,+4~+5s,
"1+2, 1+2","m, m",2020,19~20,-15~-14,KND,KND,
f+2,h?,17,15,-3,+6,CS,
f+3,m,13,19~20,-6~-5,+6~+7s,+6~+7s,
"f+3, 4","m, m",1312,19~20,-12,KND,KND,
f+4,m,15,17~18,-7~-6,+6~+7,+6~+7,Homing
"f+4, 2","m, m?",1520,17~18,-13~-12,KND,KND,Tail spin
f+1+2,h,20,14~15,-5~-4,KND,KND,
f+3+4,(Special),,(g),,,,
"f+3+4, F",!,178,47(191),KND,KND,KND,
f+2+3,m?,30,24~33,-7~+2,KND,KND,
d/f+1,m,12,13,-2,+5,+5,
"d/f+1, F","m, (SAV)",12,13,-2,+5,+5,
"d/f+1, 1","m, h",1213,13,-3~-2,+5~+6,+5~+6,
"d/f+1, 1, F","m, h, (SAV)",1213,13,-3~-2,+5~+6,+5~+6,
"d/f+1, 1, 2","m, h, m",121318,13,-10,+4,KND,
"d/f+1, 1, 3","m, h, l",121313,13,-11~-10,+3~+4,KND,
"d/f+1, 1, 3, F","m, h, l, (SAV)",121313,13,-11~-10,+3~+4,KND,
"d/f+1, 2","m, m",1218,13,-12,+1,+1,
d/f+2,m,10,16,-7,+6,+6,
"d/f+2, 1","m, m",1010,16,-15~-14,Launch (JG?),Launch (JG?),
"d/f+2, 2","m, m",1022,16,-6~-5,+13~+14kg,+13~+14kg,Tail spin
"d/f+2, d+2","m, m",1022,js19~,-4~-3,KND,KND,
d/f+3,m,11,16,-6,+5,+5,
"d/f+3, 2","m, m",1114,16,-6,+5 +30g(KND),+5 +30g(KND),
d/f+4,m,13,14~15,-7~-6,+4~+5,+4~+5,
"d/f+4, 1","m, h",138,14~15,-5,+6,+6,
"d/f+4, 1, f","m, h, (SAV)",138,14~15,-5,+6,+6,
"d/f+4, 1, 1","m, h, m",13817,14~15,-10~-9,+7~+8,CS,
d+2,m,24,18~19,-7~-6s,+4~+5s,KND,
d+3,l (TC),15,21s cs6~,-12,+1,+1,
d+4,l,10,16,-11,0,0,
"d+4, 1+2","l, h",1020,16,-8s,+5s,+5s,
"d+4, 1+2, f","l, h, (SAV)",1020,16,-8s,+5s,+5s,
d+1+2,m (TC),30,21~24 cs10~20,-12~-9,KND,KND,
d+3+4,m,20,21~22,-12~-11,KND,KND,
d/b+1,l (TC),12,25~26s cs9~,-18~-17,KND,KND,
d/b+1*,l (TC),12,31~32s cs9?~,-18~-17,KND,KND,
d/b+2,m?,23,20~21,-9~-8,KND,KND,
d/b+3,l,12,18~19,-13~-12,+3~+4,+3~+4,
"d/b+3, f","l, (SAV)",12,18~19,-13~-12,+3~+4,+3~+4,
"d/b+3, 4","l, l",1213,18~19,-19~-18,-8~-7,-8~-7,
