Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d+1+2,m?,55,20 pc8~17,-22,Throw(KND),Throw(KND),Rage art
in rage f+2+3,m (TJ),50,20~21 js5~17,+9~+10g (wl+15g),KND,KND,Rage art
"in rage f+2+3, d/f","m (TJ), (Special)",50,20~21,+28~+29?,KND,KND,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",710,1020,-1,+5,+5,
"1, 2, u or D","h, h, (Special)",710,1020,0,+6,+6,
"1, 2, 1","h, h, h",7106,1020,-3,+4,+4,Rage art
"1, 2, 1, 4","h, h, h, l (TC)",710612,s cs10~,-13,-2,-2,
"1, 2, 3","h, h, m",71015,10~,-13,+2,+2,
"1, 2, 4","h, h, h",71022,10~,-6,KND,KND,Tail spin
"1, 2, f+1+2","h, h, m",71022,10~,-14,KND,KND,
"1, 2, 1, 2","h, h, h, h",71066,10~,-10,+1,+1,
"1, 2, 1, 2, f+1+2","h, h, h, h, m",7106622,10~,-14,KND,KND,
"1, 4","h, h",715,10~,-5~-4,0~+1,CS,
"1, 4, 1","h, h, m",71521,10~,-11~-10,+15~+16kg,KND,Tail spin
2,h,10,10,+1,+7,+7,
"2, 1","h, h",106,1026,-3,+4,+4,
"2, 1, 4","h, h, l (TC)",10612,s cs10~,-13,-2,-2,
"2, 3","h, m",1015,10~,-13,+2,+2,
"2, 4","h, h",1022,10~,-6,KND,KND,Tail spin
"2, f+1+2","h, m",1022,10~,-14,KND,KND,
3,h,14,14,-16,-5,-5,
"3, 3","h, l (TC)",1410,cs18~,-17,-6,-6,
"3, 3, 2","h, l (TC), m",141010,18~,-13~-11,Launch (JG?),Launch (JG?),
"3, 3, 4","h, l (TC), h",141018,18~,-6,+5,Launch (JG?),
"3, 3, 4, 3","h, l (TC), h, m",14101820,18~,+2~+3s,+5~+6s,KND,
"3, 4","h, h",1420,18~,-6,KND,CS,Tail spin
"3, d","h, (Special)",14,14,-27,-16,-16,
"3, d, D","h, (Special)",14,14s,-23,-12,-12,
"3, d, 1+2","h, (Special), m",1422,14,-11,KND,KND,
4,h,15,11,-9,+8,Launch (JG?),
"4, 3","h, l (TC)",1513,cs10~,-17,-3,-3,
"4, 3, 2","h, l (TC), m",151310,10~,-13~-11,Launch (JG?),Launch (JG?),
"4, 3, 4","h, l (TC), h",151318,10~,-6,+5,Launch (JG?),
"4, 3, 4, 3","h, l (TC), h, m",15131020,10~,+2~+3s,+5~+6s,KND,
"4, u","h, (Special)",15,11,-34,-17,Launch (JG?),
"4, u, D","h, (Special)",15,11s,-30,-13,Launch (JG?),
"4, u, 1+2","h, (Special), m",1522,11,-11,KND,KND,
1+4,mm,420,"15~16, 28~29",-5~-4,+4~+5s,+6~+7s (+8s),
f+2,h,12,13,-3,+8,+8,
"f+2, 1","h, m",1212,13,-13~-12,-6~-5a,-6~-5a,
"f+2, 1, 2","h, m, m",121220,13,-12~-10s,+4~+6s (KND),KND,
"f+2, 1, 4","h, m, h",121222,13,-3~-1,KND(KND),KND,Tail spin
f+3,hh,1020,"14~15, 25~26",+6~+7,KND,CS,
f+3 (Second hit ducked),h,10,14~15,-24s,,,
f+3 (Only first hit on counter),h,10,14~15,,,CS (12~13),
f+4,h,14,16,-12,-3,-1,
"f+4, 3","h, m",1413,16,-14,Launch (JG?),Launch (JG?),
"f+4, 3, 3","h, m, m (TJ)",141320,a js19~,-14~-11,KND,KND,
"f+4, 4","h, h",1417,19~,+1,+13kg,KND,
f+1+2 or WS+1+2,m,24,17 pc8~16,-14,KND,KND,Power crush
d/f+1,m,13,13,-1,+5,+5,
"d/f+1, 2","m, h",1310,1330,-3,+2,+9,
"d/f+1, 2, u or D","m, h, (Special)",1310,1330,-1,+4,+11,
d/f+2,m,12,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
d/f+3,m,13,14,-11,+1,+1,
"d/f+3, 1","m, h",1310,14,-8,+3,+3,
"d/f+3, 1, d or u (Cancel)","m, (Special)",13,14,-19,-7,-7,
"d/f+3, 1, 2","m, h, h",13106,14,-10,+1,+1,
