Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 1+2,m,"55(10,45)",20 pc8~17,-22,KND,KND,Rage art
"in rage 1+2, b",m,20,20,-22,TSU,TSU,Rage art
in rage qcf+1+2,m,40(60),12(14~),+3(wl+9),KND,KND,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h",712,10,-1,+6,+6,
"1, 2, 3","h, h, m",7127,10,-25~-24,-14~-13,-14~-13,
"1, 4","h, l (TC)",78,s cs10~,-11,+1,+1,
2,h,10(12),10,0,+6,+6,
"2, 3","h, h",1221,10,-12~-11,KND,CS,
"2, d+3","h, l (TC)",1011,s cs10~,-12,-1,-1,
3,m,14,15~16,-7~-6,+4~+5,+4~+5,
"3, 2","m, h",1417,15~16,-3,+7,KND,
4,h,17,12,-7,+7,Launch (JG?),
f+2,h,10,12,0,+6,+6,
"f+2, 3","h, h",1016,12,-11~-10,+5~+6,+5~+6,
"f+2, 3, 1","h, h, m",101622,12,-12,KND,+19,
f+1+2,m,22,20~21,+3~+4s,+8~+9s,KND,
f+1+4,m,26,21~23,-14~-12,KND,KND,
d/f+1,m,13,14,-2,+4,+4,
"d/f+1, 1","m, h",139,14,-5~-4,+5~+6,+8~+9,
"d/f+1, 1, 2","m, h, m",13922,14,-9~-8,CS,CS,
"d/f+1, b","m, (Special)",13,14,+3,+9,+9,
d/f+2,m,13,15~16,-8~-7,Launch (JG?) (+3a),Launch (JG?),
d/f+3,m,14,16,-9,+2,+2,
"d/f+3, 4","m, m",1417,16,-10~-9,+6~+7,FS (+6~+7),
"d/f+3, 4*","m, m",1425,16,-6~-5,FS (+6~+7),FS (+6~+7),
d/f+4,m,21,19~20,-1~0,+9~+10,KND,
d+1,m,16,14~15,-9~-8,+2~+3,+3~+4s,
"d+1, D",m,16,14~15s,-9~-8,+2~+3,+3~+4s,
"d+1, 2","m, m",1626,14~15,-17,KND,KND,
"d+1, 2 (Hold)","m, m",1639,14~15,+20g,KND,KND,
"d+1, 4","m, l",1615,14~15,-31,-17,KND,
"d+1, 4, 2","m, l, m",161521,14~15,-14,KND,KND,
d+4 (Close),l,13,15,-31,KND,KND,
d+4,l,9,15,-31,-17,KND,
"d+4, 2","l, m",923,15,-18,-9,-9,
d+4:2:1+2,"l, m, m",92322,15,-17~-16,KND,KND,
"d+4, 2:1+2","l, m, m",92325,15,-17~-16,KND,KND,
d+1+2,m?,30,12~13,-16~-15,KND,KND,
d/b+2,m?,21,19~20,-11~-10,KND,Launch,
b+1,h,12,12~13,-9~-8,+2~+3,+2~+3,Homing
"b+1, 2","h, h",1221,12~13,-5~-4,KND,KND,Tail spin
b+2,m,22,18,-5s,+4s,+4s,
"b+2, 1","m, m",2222,18,-8,+2s,KND,
"b+2, 1*","m, m",2235,18,+8~+9s,+8~+9s,KND,
b+3,h,16,14~15,-6~-5,CS,CS,
b+4,l,14,20~21,-13~-12,+3~+4,+3~+4,
b+1+2,h,28,24 pc8~23,0,KND,KND,Power crush
u/b+2,m,22,20~21,-9~-8,KND,CS 13~14,Homing
u/f+2,m (TJ),35,39~40a,+8~+9,KND,KND,
u/b+3,m (TJ),12,15~16 js10~,-16~-15,Launch (JG?),Launch (JG?),
u+3,m (TJ),13,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
u/f+3,m (TJ),14,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
"u/b or u or u/f+3, 4","m (TJ), m (TJ)",1420,js1~,-13~-12,Launch (JG?),Launch (JG?),
u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
"f, F+2",m,14,15~17 (16~),-17~-15,-7~-5,-7~-5,
"f, F+2, 1","m, m",1420,15~17 (16~),-12,KND,KND,
