Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage 1+2,m,"55(10,7,7,31)",20 pc8~17,-22,KND,KND,Rage art
"in rage d/b+2, 4","m, h (TJ)",1212,(14),+6~+7,KND,KND,"Rage art, Tail spin"
"in rage d/b+2, 4, d/f","m, h (TJ), (SNK)",1212,(14),+19~+20g,KND,KND,"Rage art, Tail spin"
1,h,7,10,+1,+8,+8,
"1, 2","h, h",79,10,-1,+5,+5,
"1, 2, 2","h, h, m",7914,10,-13~-12,-2~-1,CS (12~13),
"1, 2, 3","h, h, h",7918,10,-8,+13g,+13g,
"1, 2, 4","h, h, m",7920,10,-13~-11,KND,KND,
2,h,10,10,+1,+7,+7,
"2, 1","h, m",107,10,-6~-5,0~+1,0~+1,
3 or 3+4,h,20,14,-8,+13g,+13g,
"3, D/F","h, (SNK)",20,14s,-1,+20g,+20g,
4,h,16,11,-9,+2,KND,
"4, 1","h, h",1612,11,-4,+4,+4,
"4, 3","h, h",1621,11,-1~0,KND,KND,Tail spin
"4, 4","h, m",1625,11,-13~-12,KND,KND,
f+2,h,12,12,-8,-2,-2,
"f+2, 3","h, h",1220,12,-12,+9,+9,
"f+2, 4","h, l",1213,12,-13~-12,-2~-1,KND,
"f+2, 4, D/F","m, l, (SNK)",1213,12,-4~-3,+7~+8,KND,
"f+2, 4, d/f, d/b (Cancel)","m, l, (Special)",1213,12s,-18~-17,-7~-8,KND,
"f+2, 4, 4","h, l, h",121321,12,-3~-2,+14~+15kg,+14~+15kg,Tail spin
f+3,m (TJ),15,21 js13~,-5~-4,+6~+7,YUD,
f+4,h,17,15,-2,+2,KND,"Tail spin, Homing"
f+3+4,mm (TJ),1414,"22~23, 28 js11~24",-11,+1s,+1s,
"f+3+4, D/F","mm (TJ), (SNK)",1414,"22~23, 28 js11~24",+1,+13s,+13s,
d/f+1,m,12,13~14,-1~-2,+5~+6,+5~+6,
d/f+2,m,13,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
d/f+3,m,20,17,-9,+12kg,+12kg,"Tail spin, Homing"
d/f+4,m,16,14,-9,+2,+2,
d+2,m?,18,18~19,-6~-5,+8~+9,+8~+9,
d+3,l (TC),14,16~17s cs6~,-17~-16,-3~-2,-3~-2,
"d+3, D/F","l (TC), (SNK)",14,16~17 cs6~,-11~-10,+3~+4,+3~+4,
d+4,l,13,19,-12,+1,+1,
d/b+2,m,11,14,-5,+6,+6,
"d/b+2, D/F","m, (SNK)",11,14,-3,+8,+8,
"d/b+2, 1","m, h",1124,14,-11,KND,KND,
d/b+3,l,15,20~21,-17~-16,-6~-5,-6~-5,
"d/b+3, 4","l, h",1530,cs6~,-13,KND,KND,
d/b+4,h,30,20 cs6~,-13,KND,KND,
d/b+1+2,!,40,64~65,CS,CS,CS,
b+1,m,18,19~20,-9~-8s,+3~+4s,KND,
b+3,m,20,18~19,0~+1s,+3~+4s,KND,
b+4,m,20,17,-15,-1,KND,
u/b+3,m (TJ),16,25~26 js9~,-7~-6,+4~+5,+4~+5,
u+3,m (TJ),21,25~26 js9~,-7~-6,KND,KND,
u/f+3,m (TJ),22,25~26 js9~,-7~-6,KND,KND,
u/b or u or u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
"f, F+3 or f, f, f+3 (Close)","m (TJ)(, (throw))","13(,5,5)",17a(18~) js13~,-12,Throw(Launch),Throw(Launch),
"f, F+3 or f, f, f+3",m (TJ),13,17a(18~) js13~,-12,KND,KND,
"f, F+4",h,25,16(17~) pc6~15,-11,KND,KND,Power crush
"f, b+2",h?((throw)),"10(,45)",14(14~),-4,Throw(KND) +13,Throw(KND) +13,
WS+1,m,16,15,-2,+4,+12,
WS+2,m,21,16,-17,CS,CS,
WS+3,m,16,13,-11,0,0,
"WS+3, 3","m, m",1620,13,-15,KND,KND,
WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,
"FC+d/f, d, D/F+3","l(, (Special))(SNK)",24,16~20d (19~) cs1~15 ar7~,-27~-23,KND,KND,
BT 2,m,15,14,-3,KND,KND,
"d/f, d/f or From special move (to SNK)",(SNK),,14,,,,
SNK 1,h(SNK),7,12(27~),+1,+8,+8,
SNK 2,m,20,15~16 (30~),-13~-12,+7~+8,KND,
SNK 3 (Close),"m (TJ)(, (throw))","13(,5,5)",20a(35~) js14~,-12,Throw(Launch),Throw(Launch),
SNK 3,m (TJ),13,20a(35~) js14~,-12,KND,KND,
SNK 4,l,18,26(41~) cs6~,-19,KND,KND,
SNK 1+2,m(Throw),30,27(42~),Throw(KND),Throw(KND),Throw(KND),
