Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage LFS or RFS d+3+4,m,55,20 pc8~17,-7,KND,KND,Rage art
in rage d+3+4,lm,"7,10","12,28~29",-4~-3,0~+1,0~+1,Rage art
"in rage d+3+4, 4","lm, m (TJ)(RFF)","7,10,30",js14~,+6~+8,KND,KND,Rage art
"in rage u/f+3, 4, 3+4","m (TJ), m, hh","16,12,15,20",js1~,+2~+3,KND,KND,Rage art
"in rage LFS u/f+3, 4, 3+4","m (TJ), m, hh","16,12,15,20",js1~,+2~+3,KND,KND,Rage art
1,h,7,10,+1,+8,+8,
"1, 1","h, h","7,8",10,-2,+6,+6,
"1, 1, 3","h, h, l","7,8,10",10,-12,-1,-1,
"1, 1, 3, 3","h, h, l, h","7,8,10,14",10,-14,-3,-3,
"1, 2","h, h","7,10",10,-1,+7,+8,
"1, 2, 3","h, h, (Special)","7,10",10,+3,+11g,+12,
"1, 2, 4","h, h, (Special)","7,10",10,+3,+11g,+12,
"1, 2, f+3","h, h, m","7,10,14",10,-8,+3,+3,
"1, 2, f+4 (Close)","h, h, h (TJ)","7,10,34",js14~,+8~+9,KND,KND,
"1, 2, f+4 (Far)","h, h, h (TJ)","7,10,23",js14~,-11~-10,KND,KND,
2,h,9,10,0,+8,+9,
"2, 3","h, (LFS)",9,10,+3,+11g,+12,
"2, 4","h, (RFS)",9,10,+3,+11g,+12,
"2, f+3","h, m","9,14",10,-8,+3,+3,
"2, f+4 (Close)","h, h (TJ)","9,34",js14~,+8~+9,KND,KND,
"2, f+4 (Far)","h, h (TJ)","9,23",js14~,-11~-10,KND,KND,
3,h,15,14,-7,+4,+4,
"3, 3","h, m","15,12",14,-13,-7,-2,
"3, 3, F","h, m, (LFS)","15,12",14,+2,+8,+13,
"3, 3, 3","h, m, m","15,12,15",14,-14,KND,KND,
"3, 3, 4","h, m, h, (RFS)","15,12,15",14,+8~+12,+19~+23g,+19~+23g,
"3, 3, d/f or f+4","h, m, h","15,12,25",14,-4~+2y,KND,KND,
3~4,mm (TJ),"11,21","22,30 (22)",-3,KND,KND,
4,h,14,11~12,-6~-5,+5~+6,+5~+6,
"4, 3","h, m(LFF)","14,12",11~12,-6,+5,+5,
"4, 3, f (Cancel)","h, (LFS)",14,11~12,-6~-5,+5~+6,+5~+6,
"4, 4","h, h, (RFS)","14,10",11~12,-1,+10g,+10,
"4, f+4","h, h(RFF)","14,10",11~12,-5,+6,+6,
"4, 4, 3","h, h, m(RFF)","14,10,20",11~12,-15~-9s,KND,KND,
"4, 4, 4","h, h, h, (RFS)","14,10,10",11~12,-1,+10g,+10,
"4, 4, f+4","h, h, h(RFF)","14,10,25",11~12,-6,+5,+5,
"4, 4, 4, 4","h, h, h, h(RFF)","14,10,10,20",11~12,+2~+5,KND,KND,
"4, 4, 4, 3","h, h, h, m(RFF)","14,10,10,20",11~12,-15~-9s,KND,KND,
1+2,(RFF),b,11~12,,,,
3+4,(RFF),,11~12,,,,
f+2,m(RFF),15,16,-2,+9,+9,
f+3,(Special),,13~,,,,
f+3~n+3,m,25,20(20~),-16,KND,KND,
"f, n+4",(Special),,23~,,,,
f+4,"h, (RFS)",21,17~23,+8~+12,+19~+23g,+19~+23g,
f+1+2,m,17,15,-9,+2,CS,
d/f+1,m,10,13~14,0~+1,+7~+8,+7~+8,
d/f+2,m,13,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
d/f+3,m,17,22~23,-12~-11,+1~+2,CS,
"d/f+3, 4","m, m","17,23",22~23,-14~-13,KND,KND,
"d/f+3, f (Cancel)",(LFS),,22~23,,,,
d/f+4,m(RFF),20,16~17,-8~-7,+8~+9,KND,"Homing, Tail spin"
d/f+1+2,m,12,13~14,-3~-2,+8~+9,+8~+9,
d/f+3+4,"m(, (Sky)(throw))","8(,6,15)",15~16,-11~-10,0~+1,0~+1,
d+3,l,7,17,-13,-2,-2,
"d+3, 4","l, h, (RFS)","7,10",17,+8~+12,+14~+18g,+19~+23,
d+4,l (TC),7,19s cs6~,-17,-6,-6,
"d+4, 4","l (TC), h","7,22",19 6~,-8,Launch (JG?),Launch (JG?),
d/b+3,l (TC),12,19s cs4~,-13,0,+7,
d/b+4,l,12,16,-12,-8,-1,
"d/b+4, f","l, (RFS)",12,16,-1,+3,+10,
"d/b+4, 4","l, h","12,21",16,-3~-1,KND,KND,Tail spin
