Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
"in rage b+4, 2, f, f","m, m, (STB)","11,21",20 8~17,+7,TKMD,TKMD,Rage art
1,h,7,10,+1,+8,+8,
"1, 2","h, h","7,12",10,-1~0,+6~+7,+6~+7,
2,h,10,12,0,+6,+6,
"2, 1","h, m","10,13",12,-11,-5,-5,
"2, 1, 2","h, m, m(, (Special))(STB)","10,13,25",12,-13~-11,KND,KND,Tail spin
3,h,21,12~13,-6~-5,-1~0,+9~+10,
4,h,15,12,-8,+3,KND,
"4, 3","h, m (TJ)","15,13",js17~,-9~-8,+15kg,+15kg,"Homing, Tail spin"
1+2,m,20,17,-14,+2s,+2s,
1+2 When hit 1+2,"m, (throw)","20,20",17,,0,,
"1+2 When hit 1+2 When hit , b or f+2","m, (throw), (throw), (STB)","20,20,18",17,,Throw(KND),Throw(KND),
3+4,"m (TJ), ?",20,24~26s js13~,-10~-8,KND,KND,
f+2,h,9,12,0,+6,+6,
"f+2, 1","h, m","9,12",12,-13~-12,+3~+4s,+3~+4s,
"f+2, 1, 1+2","h, m, m","9,12,28",12,-18~-17,KND,KND,
"f+2, 2","h, m(, (Special))(STB)","9,20",12,-27,CS,CS,Tail spin
f+3,m (TJ),27,18 js6~,-9~-8,+15kg,+15kg,"Homing, Tail spin"
f+4,m,23,22~23,+2~+3,+7~+8s,KND,
f+1+2,m,10,16,-18,-7,-7,
f+3+4,h,25,17~18,+2~+3,KND,KND,Homing
d/f+1,m,10,15~16,-2~-1,+9~+10,+9~+10,
"d/f+1, 2","m, m","10,13",15~16,-15~-14,Launch (JG?),Launch (JG?),
d/f+2,m,17,14,-13,+2,hKZD,
d/f+3,m,14,14,-7,+4,+4,
"d/f+3, 1","m, m","14,13",14,-13,KND,KND,
"d/f+3, 2","m, h","14,10",14,-2,+4,+4,
d/f+4,m,14,13,-8,+3,+3,
d+1,m,16,17~18,-9~-8,+2~+3,+2~+3,
d+2,l (TC),11,20s cs7~,-11,0,0,
d+1+2 or BT 1+2,m?,28,13~14,-18~-17,KND,KND,
d/b+2 or FC+d/b or d+2,Sm,8,11s cs4~,-4,+7,+7,
"d/b+2, 1","Sm, Sm","8,12",s cs1~,-15(s),-4,-4,
d/b+3,l (TC),22,24~25s cs6~,-17~-16,+1~+2s,KND,
d/b+4,l,7,15,-11,0,0,
"d/b+4, 3","l, h","7,14",15,-9,+2,+2,
b+1,m,20,18~19,-9~-8,KND,KND,"Tail spin, Homing"
b+2,"h?(, (Special))(STB)",30,14~15,-9~-8,KND,KND,
b+3,m,16,13,-4,+7,+7,
b+4,m,10,17,-14,-3,-3,
"b+4, 2","m, m(, (Special))(STB)","10,20",17,-9,TKMD,TKMD,
"b+4, 3","m, h","10,14",17,-15~-14,-4~-3,-4~-3,Homing
b+1+2,m,25,22~23 pc8~21,-12~-11,+4~+5s,+4~+5s,Power crush
b+3+4,m,24,29~30,-14~-13,KND,KND,Homing
b+2+3,!,60,72,TKMD,TKMD,TKMD,
u/b or u or u/f+2,m (TJ),25,25 js9~24,+9,KND,KND,
u/b+3,m (TJ),20,23~24 js9~,+1~+2s,+6~+7s,KND,
u+3,m (TJ),21,23~24 js9~,+1~+2s,+6~+7s,KND,
u/f+3,m (TJ),22,23~24 js9~,+1~+2s,+6~+7s,KND,
u/b or u or u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
u/f+3+4,mm,"10,14","20,33~34 2js21~",-11~-10,KND,KND,
"f, F+2 or FC+d/f+2",m,14,14~16 (15~),-18~-16,-7~-5,-7~-5,
"f, F+2, 2 or FC+d/f+2, 2","m, h","14,14",14~16 (15~),-6~-5,+6~+7s,+6~+7s,
"f, F+2, 1+2 or FC+d/f+2, 1+2","m, m(, (Special))(STB)","14,20",14~16 (15~),-13~-12,KND,KND,
"f, F+4",m (TJ),20,15~17 (16~) js11~,-5~-3,KND,KND,
"f, f, f+2","h(, (Special))(STB)",40,13~16 (16~) js3~,+7~+10g,KND,KND,
WS+1,m,12,12~13,-4~-3,+7~+8,+7~+8,
"WS+1, 1","m, h","12,12",12~13,-12,+9,+9,
WS+2,"m(, (Special))(STB)",20,15~16,-14~-13,Launch (JG?),Launch (JG?),
WS+3,m,14,16,-5,KND,KND,
WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
SS+4,l,20,20~21s (29~),-11~-10,+3~+4s,+3~+4s,
From special move,(STB),,20~21 (29~),,,,
STB f+1+2,m,10,16,-18,-7,-7,
"STB f+1+2, 1+2","m, m","10,20",16,-9,SPD,SPD,
STB d+1,m,16,17~18,-9~-8,+2~+3,+2~+3,
"STB d+1, 2","m, m","16,23",17~18,+3~+4,+3~+4,+8~+9,Tail spin
STB d+2,l (TC),11,20s cs7~,-11,0,0,
"STB d+2, 2","l, l","11,15",cs1~,-12~-11,KND,KND,
STB d/b+1+2,"m, !","20,20","20,55",CS,CS,CS,
STB b+4,m,10,17,-14,-3,-3,
"STB b+4, 3","m, h","10,14",17,-15~-14,-4~-3,-4~-3,Homing
"STB b+4, 3, 2","m, h, m (TJ)","10,14,20",js3~25,-10~-9,KND,KND,
